@relation sea

@attribute at1 numeric
@attribute at2 numeric
@attribute at3 numeric
%class
@attribute cl {0,1}

@data

8.226195232,1.576645725,6.350935539,0
8.98556271,9.324642614,9.428379282,0
3.162408244,0.124638549,6.188460675,0
5.610063648,8.548352508,5.483255182,0
2.487108213,8.003027837,9.849658568,0
7.47861139,9.555729214,8.929882277,0
9.181920135,7.750916965,3.868787836,0
8.064969859,8.182258814,0.077086717,0
0.346707515,7.12777868,4.027690836,1
8.697207831,7.391382146,2.877327506,0
1.512592554,7.284739388,5.538802967,1
1.80045303,4.362475906,5.989145639,1
1.167271193,5.883652947,5.468861336,1
2.696167752,1.176764778,9.120156196,1
7.75301468,4.470438901,6.293715803,0
5.702147598,2.9048331,0.479140591,0
8.995017915,2.184209136,3.23119732,0
2.34364613,9.061914019,9.170846324,0
0.914619848,4.594792824,7.573590304,1
1.248319039,1.854552299,5.671398162,1
7.288580019,3.257634794,5.344581514,0
4.2804675,0.584587326,3.345400194,1
2.937419387,0.509074118,1.730187068,1
2.374612477,3.182410587,6.567643229,1
4.845502692,9.795208438,0.85533666,0
7.488287879,4.588525279,6.020031792,0
2.357074429,0.941236702,5.998918136,1
2.558478404,8.929677868,0.479609388,0
6.920754176,0.840027699,2.025297343,1
3.480217973,1.333978826,3.119316514,1
7.212953703,0.531586542,2.824698803,1
5.739837652,3.058853785,3.116291588,1
8.698647663,1.531964152,7.533207063,0
2.854920274,0.285278278,3.831237692,1
3.21022457,9.728769932,8.362767707,0
3.481932771,8.175009139,8.878026367,0
1.802813336,7.543038275,2.292166649,1
7.529544993,9.774650132,8.952213577,0
6.005812184,5.194731659,9.572896474,0
5.435767059,6.781556955,3.784125093,0
4.075777479,0.323895986,3.095746105,1
0.754962167,6.596708281,8.385292995,1
9.530916432,5.243552433,9.041710792,0
0.941712504,0.671776173,9.627066251,1
4.057667443,2.465227194,3.109543676,1
3.852204164,4.610360682,0.46552738,1
8.498848154,9.300985526,7.092122893,0
2.629195531,3.442582018,1.711270296,1
4.433164707,0.223860437,0.646626202,0
3.456956705,2.885066454,6.350913338,1
7.006149168,9.504252449,3.376575062,0
5.360545304,8.028703721,2.012513276,0
1.784215857,4.897203148,7.545387158,1
4.323515551,3.359500555,5.7682182,1
9.703081059,6.072353283,8.694859001,0
4.748701227,9.108017768,1.955767214,0
4.628633787,9.925695281,2.366626151,0
9.731555302,5.717886759,7.479127926,0
7.414696091,1.843578024,7.893047377,1
2.677798103,0.76843818,8.944639184,1
5.371309826,3.747075255,2.139350833,1
6.118090502,7.880086735,2.445092968,0
0.468545282,3.696483101,5.273801529,0
1.712102079,6.667788232,6.461496312,1
1.916807404,7.07878328,2.843865068,1
1.716258339,7.486417062,6.215233025,1
1.967391784,3.867978234,9.527502595,0
2.567344273,6.001370727,1.575181155,1
6.3576091,0.192238504,0.087613693,0
5.541202719,2.265170727,8.35497855,1
1.623098664,2.565246795,5.402039297,1
6.592450166,6.566345912,0.196467756,0
8.285416997,3.193594318,6.403062741,0
7.619198677,0.26347324,9.6839601,1
9.361084235,7.321539428,6.951991236,0
9.910581842,3.937541278,2.706165137,0
7.360125322,5.904055917,5.846430843,0
9.689615925,3.831268442,9.000636071,1
2.84216099,4.976348123,4.828182094,1
9.334915681,0.320173487,6.537086742,0
8.695945121,4.990299405,1.843724839,1
5.042847233,7.915941791,4.577597258,0
9.202988726,4.665549571,2.475606311,0
8.208606532,8.838018292,0.290916375,0
3.634148425,3.084956405,9.470124767,1
1.355383551,3.335126388,6.389524578,1
5.030127525,2.995694563,2.829573578,1
0.389453611,6.937187659,2.233267168,0
4.108897004,5.590741764,8.788135239,0
7.264860308,0.306356063,0.836166951,1
4.512021268,4.674144435,6.88577045,1
0.14520867,8.207619038,9.139843066,1
9.824683732,0.332206279,4.711132465,0
0.805486017,2.79143832,6.829010428,1
2.783763151,1.451179185,4.144047675,1
7.605782872,8.506860796,7.993144333,1
6.408380181,8.815027264,4.496028155,0
9.365811801,3.750969665,0.386345088,0
1.431090066,6.848811762,4.293580342,1
9.603827315,1.301330522,2.480329683,0
1.207037469,6.428257781,4.032938658,1
6.541670514,7.859392158,9.203654798,0
9.002408325,4.76542627,3.364670441,0
1.518569585,5.98516513,2.42000704,1
0.414882077,6.670146721,9.62421396,1
3.25422497,1.856696779,6.73233903,1
9.415034083,7.163001732,9.953277768,0
6.19721098,4.922300637,4.027828303,0
6.650094408,2.690452965,5.051836263,0
1.232531423,6.804372238,7.85302279,1
8.289177669,0.127154745,0.900022326,1
6.604151348,1.483656854,3.107237135,1
7.355748602,2.920293725,2.317940218,1
6.371052065,2.215603305,1.553328834,1
6.993676502,7.01019577,9.245927887,0
0.962180232,1.685323906,3.679348377,0
2.399516645,7.76624099,4.366036952,0
1.591579523,3.015768592,9.976609943,1
0.187357928,2.155481034,1.092503646,0
0.826557938,9.738774773,6.620310975,0
5.605742014,6.105592667,5.138856867,0
8.89441806,4.193033293,1.893238211,0
6.220558678,4.220046959,7.19445893,0
9.689238309,0.122701185,7.16160343,0
7.637586117,0.846522607,5.811788613,1
9.849743971,6.448807248,5.84925408,0
9.490837161,1.625032521,1.557655684,0
2.212764178,3.670266065,7.796291372,1
6.617522291,2.799693017,7.898391151,1
3.633401086,5.745334306,7.041493153,1
9.617456081,5.149442375,4.786836384,1
7.769668321,8.025853834,4.023776009,0
5.622626746,1.930537595,1.922987109,0
0.877277762,7.858172634,7.226709027,1
5.446595408,3.126775662,0.177045516,1
1.548009653,5.116068813,7.025082306,1
5.28805693,6.120383134,0.396032455,0
9.234616959,5.286422594,0.06956265,0
1.193215383,0.681541645,5.533766556,1
3.716604772,2.888737882,2.408011399,1
4.194963961,0.854331918,2.507036283,1
7.251936632,3.382935232,5.92017938,0
1.699809974,5.947027919,7.874466823,1
8.363492915,9.977183947,8.036817691,0
7.418189394,6.15130987,4.127507405,0
9.128316453,1.309156754,9.341747777,0
7.146905896,1.876078004,7.075350275,1
4.611931594,5.893458186,1.766116855,0
1.154957174,4.947671746,3.197484845,1
2.885291348,8.559599632,5.94125259,0
9.778883081,0.524009713,8.412663886,0
5.37704637,0.085666132,3.440348805,1
6.778012737,8.97635519,8.897593298,0
0.814279078,9.148099834,5.601737577,0
9.456121966,0.687096339,0.086416965,0
8.848867718,6.843126761,8.461189579,0
9.280264782,3.593695672,5.798466103,1
5.534229376,3.779971051,5.20895703,1
6.78165551,4.752035563,1.854538332,0
